Series Description,"Percent change of total consumer credit, seasonally adjusted at an annual rate","Percent change of total revolving consumer credit, seasonally adjusted at an annual rate","Percent change of total nonrevolving consumer credit, seasonally adjusted at an annual rate","Total consumer credit owned and securitized, seasonally adjusted level","Revolving consumer credit owned and securitized, seasonally adjusted level","Nonrevolving consumer credit owned and securitized, seasonally adjusted level","Total consumer credit owned and securitized, not seasonally adjusted level","Total securitized consumer credit, not seasonally adjusted level","Total consumer credit owned and securitized by depository institutions, not seasonally adjusted level","Total consumer credit owned by depository institutions, not seasonally adjusted level","Total consumer credit owned by commercial banks, not seasonally adjusted level (discontinued after February 2011)","Total consumer credit owned by savings institutions, not seasonally adjusted level (discontinued after February 2011)","Total consumer credit securitized by depository institutions, not seasonally adjusted level","Total consumer credit owned and securitized by finance companies, not seasonally adjusted level","Total consumer credit owned by finance companies, not seasonally adjusted level","Total consumer credit securitized by finance companies, not seasonally adjusted level","Total consumer credit owned by credit unions, not seasonally adjusted level","Total consumer credit owned by federal government, not seasonally adjusted level","Total consumer credit owned by nonprofit and educational institutions, not seasonally adjusted level","Total consumer credit owned and securitized by nonfinancial business, not seasonally adjusted level","Total consumer credit owned by nonfinancial business, not seasonally adjusted level","Total consumer credit securitized by nonfinancial business, not seasonally adjusted level","Revolving consumer credit owned and securitized, not seasonally adjusted level","Revolving securitized consumer credit, not seasonally adjusted level","Revolving consumer credit owned and securitized by depository institutions, not seasonally adjusted level","Revolving consumer credit owned by depository institutions, not seasonally adjusted level","Revolving consumer credit owned by commercial banks, not seasonally adjusted level (discontinued after February 2011)","Revolving consumer credit owned by savings institutions, not seasonally adjusted level (discontinued after February 2011)","Revolving consumer credit securitized by depository institutions, not seasonally adjusted level","Revolving consumer credit owned and securitized by finance companies, not seasonally adjusted level","Revolving consumer credit owned by finance companies, not seasonally adjusted level","Revolving consumer credit securitized by finance companies, not seasonally adjusted level","Revolving consumer credit owned by credit unions, not seasonally adjusted level","Revolving consumer credit owned and securitized by nonfinancial business, not seasonally adjusted level","Revolving consumer credit owned by nonfinancial business, not seasonally adjusted level","Revolving consumer credit securitized by nonfinancial business, not seasonally adjusted level","Nonrevolving consumer credit owned and securitized, not seasonally adjusted level","Nonrevolving securitized consumer credit, not seasonally adjusted level","Nonrevolving consumer credit owned and securitized by depository institutions, not seasonally adjusted level","Nonrevolving consumer credit owned by depository institutions, not seasonally adjusted level","Nonrevolving consumer credit owned by commercial banks, not seasonally adjusted level (discontinued after February 2011)","Nonrevolving consumer credit owned by savings institutions, not seasonally adjusted level (discontinued after February 2011)","Nonrevolving consumer credit securitized by depository institutions, not seasonally adjusted level","Nonrevolving consumer credit owned and securitized by finance companies, not seasonally adjusted level","Nonrevolving consumer credit owned by finance companies, not seasonally adjusted level","Nonrevolving consumer credit securitized by finance companies, not seasonally adjusted level","Nonrevolving consumer credit owned by credit unions, not seasonally adjusted level","Nonrevolving consumer credit owned by federal government, not seasonally adjusted level","Nonrevolving consumer credit owned by nonprofit and educational institutions, not seasonally adjusted level","Nonrevolving consumer credit owned and securitized by nonfinancial business, not seasonally adjusted level","Nonrevolving consumer credit owned by nonfinancial business, not seasonally adjusted level","Nonrevolving consumer credit securitized by nonfinancial business, not seasonally adjusted level","Student loans owned and securitized, not seasonally adjusted level","Motor vehicle loans owned and securitized, not seasonally adjusted level","Total consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Revolving consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Total consumer credit owned and securitized, not seasonally adjusted flow, monthly rate","Total securitized consumer credit, not seasonally adjusted flow, monthly rate","Total consumer credit owned and securitized by depository institutions, not seasonally adjusted flow, monthly rate","Total consumer credit owned by depository institutions, not seasonally adjusted flow, monthly rate","Total consumer credit owned by commercial banks, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Total consumer credit owned by savings institutions, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Total consumer credit securitized by depository institutions, not seasonally adjusted flow, monthly rate","Total consumer credit owned and securitized by finance companies, not seasonally adjusted flow, monthly rate","Total consumer credit owned by finance companies, not seasonally adjusted flow, monthly rate","Total consumer credit securitized by finance companies, not seasonally adjusted flow, monthly rate","Total consumer credit owned by credit unions, not seasonally adjusted flow, monthly rate","Total consumer credit owned by federal government, not seasonally adjusted flow, monthly rate","Total consumer credit owned by nonprofit and educational institutions, not seasonally adjusted flow, monthly rate","Total consumer credit owned and securitized by nonfinancial business, not seasonally adjusted flow, monthly rate","Total consumer credit owned by nonfinancial business, not seasonally adjusted flow, monthly rate","Total consumer credit securitized by nonfinancial business, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned and securitized, not seasonally adjusted flow, monthly rate","Revolving securitized consumer credit, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned and securitized by depository institutions, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned by depository institutions, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned by commercial banks, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Revolving consumer credit owned by savings institutions, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Revolving consumer credit securitized by depository institutions, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned and securitized by finance companies, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned by finance companies, not seasonally adjusted flow, monthly rate","Revolving consumer credit securitized by finance companies, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned by credit unions, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned and securitized by nonfinancial business, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned by nonfinancial business, not seasonally adjusted flow, monthly rate","Revolving consumer credit securitized by nonfinancial business, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned and securitized, not seasonally adjusted flow, monthly rate","Nonrevolving securitized consumer credit, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned and securitized by depository institutions, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned by depository institutions, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned by commercial banks, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Nonrevolving consumer credit owned by savings institutions, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Nonrevolving consumer credit securitized by depository institutions, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned and securitized by finance companies, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned by finance companies, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit securitized by finance companies, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned by credit unions, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned by federal government, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned by nonprofit and educational institutions, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned and securitized by nonfinancial business, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned by nonfinancial business, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit securitized by nonfinancial business, not seasonally adjusted flow, monthly rate","Student loans owned and securitized, not seasonally adjusted flow, monthly rate","Motor vehicle loans owned and securitized, not seasonally adjusted flow, monthly rate","Finance rate on consumer installment loans at commercial banks, new autos 48 month loan; not seasonally adjusted","Finance rate on consumer installment loans at commercial banks, new autos 60 month loan; not seasonally adjusted","Finance rate on personal loans at commercial banks, 24 month loan; not seasonally adjusted","Commercial bank interest rate on credit card plans, all accounts; not seasonally adjusted","Commercial bank interest rate on credit card plans, accounts assessed interest; not seasonally adjusted","New car average finance rate at auto finance companies, not seasonally adjusted (discontinued after January 2011)","Weighted-average maturity of new car loans at auto finance companies, not seasonally adjusted (discontinued after January 2011)","Loan-to-value ratio of new car loans at auto finance companies, not seasonally adjusted (discontinued after January 2011)","Average amount financed for new car loans at auto finance companies, not seasonally adjusted (discontinued after January 2011)","Average maturity of new car loans at finance companies, amount of finance weighted, not seasonally adjusted","Average finance rate of new car loans at finance companies, amount of finance weighted, not seasonally adjusted","Average amount financed for new car loans at finance companies, not seasonally adjusted"
Unit:,Percent,Percent,Percent,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Percent,Percent,Percent,Percent,Percent,Percent,Months,Percent,Currency,Months,Percent,Currency
Multiplier:,1,1,1,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1,1,1,1,1,1,1,1,1,1,1,1
Currency:,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,NA,USD,USD,USD,USD,USD,USD,USD,USD,NA,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,NA,USD,NA,USD,USD,NA,USD,USD,USD,USD,NA,USD,NA,USD,USD,USD,NA,USD,NA,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,NA,USD,USD,USD,USD,USD,USD,USD,USD,NA,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,NA,USD,NA,USD,USD,NA,USD,USD,USD,USD,NA,USD,NA,USD,USD,USD,NA,USD,NA,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
Unique Identifier: ,G19/CCOUT/DTCTL_@%A_BA.M,G19/CCOUT/DTCTLR_@%A_BA.M,G19/CCOUT/DTCTLN_@%A_BA.M,G19/CCOUT/DTCTL.M,G19/CCOUT/DTCTLR.M,G19/CCOUT/DTCTLN.M,G19/CCOUT/DTCTL_N.M,G19/CCOUT/DTCNL_N.M,G19/CCOUT/DTCTLHD_N.M,G19/CCOUT/DTCOLHD_N.M,G19/CCOUT/H0.DTCOLHDB_N.M,G19/CCOUT/H0.DTCOLHDS_N.M,G19/CCOUT/DTCNLHD_N.M,G19/CCOUT/DTCTLHF_N.M,G19/CCOUT/DTCOLHF_N.M,G19/CCOUT/DTCNLHF_N.M,G19/CCOUT/DTCOLHC_N.M,G19/CCOUT/DTCOLHG_N.M,G19/CCOUT/DTCOLHE_N.M,G19/CCOUT/DTCTLHN_N.M,G19/CCOUT/DTCOLHN_N.M,G19/CCOUT/DTCNLHN_N.M,G19/CCOUT/DTCTLR_N.M,G19/CCOUT/DTCNLR_N.M,G19/CCOUT/DTCTLRHD_N.M,G19/CCOUT/DTCOLRHD_N.M,G19/CCOUT/H0.DTCOLRHDB_N.M,G19/CCOUT/H0.DTCOLRHDS_N.M,G19/CCOUT/DTCNLRHD_N.M,G19/CCOUT/DTCTLRHF_N.M,G19/CCOUT/DTCOLRHF_N.M,G19/CCOUT/DTCNLRHF_N.M,G19/CCOUT/DTCOLRHC_N.M,G19/CCOUT/DTCTLRHN_N.M,G19/CCOUT/DTCOLRHN_N.M,G19/CCOUT/DTCNLRHN_N.M,G19/CCOUT/DTCTLN_N.M,G19/CCOUT/DTCNLN_N.M,G19/CCOUT/DTCTLNHD_N.M,G19/CCOUT/DTCOLNHD_N.M,G19/CCOUT/H0.DTCOLNHDB_N.M,G19/CCOUT/H0.DTCOLNHDS_N.M,G19/CCOUT/DTCNLNHD_N.M,G19/CCOUT/DTCTLNHF_N.M,G19/CCOUT/DTCOLNHF_N.M,G19/CCOUT/DTCNLNHF_N.M,G19/CCOUT/DTCOLNHC_N.M,G19/CCOUT/DTCOLNHG_N.M,G19/CCOUT/DTCOLNHE_N.M,G19/CCOUT/DTCTLNHN_N.M,G19/CCOUT/DTCOLNHN_N.M,G19/CCOUT/DTCNLNHN_N.M,G19/CCOUT/DTCTLNS_N.M,G19/CCOUT/DTCTLNV_N.M,G19/CCOUT/DTCTL_XDF_BA.M,G19/CCOUT/DTCTLR_XDF_BA.M,G19/CCOUT/DTCTLN_XDF_BA.M,G19/CCOUT/DTCTL_XDF_BA_N.M,G19/CCOUT/DTCNL_XDF_BA_N.M,G19/CCOUT/DTCTLHD_XDF_BA_N.M,G19/CCOUT/DTCOLHD_XDF_BA_N.M,G19/CCOUT/H0.DTCOLHDB_XDF_BA_N.M,G19/CCOUT/H0.DTCOLHDS_XDF_BA_N.M,G19/CCOUT/DTCNLHD_XDF_BA_N.M,G19/CCOUT/DTCTLHF_XDF_BA_N.M,G19/CCOUT/DTCOLHF_XDF_BA_N.M,G19/CCOUT/DTCNLHF_XDF_BA_N.M,G19/CCOUT/DTCOLHC_XDF_BA_N.M,G19/CCOUT/DTCOLHG_XDF_BA_N.M,G19/CCOUT/DTCOLHE_XDF_BA_N.M,G19/CCOUT/DTCTLHN_XDF_BA_N.M,G19/CCOUT/DTCOLHN_XDF_BA_N.M,G19/CCOUT/DTCNLHN_XDF_BA_N.M,G19/CCOUT/DTCTLR_XDF_BA_N.M,G19/CCOUT/DTCNLR_XDF_BA_N.M,G19/CCOUT/DTCTLRHD_XDF_BA_N.M,G19/CCOUT/DTCOLRHD_XDF_BA_N.M,G19/CCOUT/H0.DTCOLRHDB_XDF_BA_N.M,G19/CCOUT/H0.DTCOLRHDS_XDF_BA_N.M,G19/CCOUT/DTCNLRHD_XDF_BA_N.M,G19/CCOUT/DTCTLRHF_XDF_BA_N.M,G19/CCOUT/DTCOLRHF_XDF_BA_N.M,G19/CCOUT/DTCNLRHF_XDF_BA_N.M,G19/CCOUT/DTCOLRHC_XDF_BA_N.M,G19/CCOUT/DTCTLRHN_XDF_BA_N.M,G19/CCOUT/DTCOLRHN_XDF_BA_N.M,G19/CCOUT/DTCNLRHN_XDF_BA_N.M,G19/CCOUT/DTCTLN_XDF_BA_N.M,G19/CCOUT/DTCNLN_XDF_BA_N.M,G19/CCOUT/DTCTLNHD_XDF_BA_N.M,G19/CCOUT/DTCOLNHD_XDF_BA_N.M,G19/CCOUT/H0.DTCOLNHDB_XDF_BA_N.M,G19/CCOUT/H0.DTCOLNHDS_XDF_BA_N.M,G19/CCOUT/DTCNLNHD_XDF_BA_N.M,G19/CCOUT/DTCTLNHF_XDF_BA_N.M,G19/CCOUT/DTCOLNHF_XDF_BA_N.M,G19/CCOUT/DTCNLNHF_XDF_BA_N.M,G19/CCOUT/DTCOLNHC_XDF_BA_N.M,G19/CCOUT/DTCOLNHG_XDF_BA_N.M,G19/CCOUT/DTCOLNHE_XDF_BA_N.M,G19/CCOUT/DTCTLNHN_XDF_BA_N.M,G19/CCOUT/DTCOLNHN_XDF_BA_N.M,G19/CCOUT/DTCNLNHN_XDF_BA_N.M,G19/CCOUT/DTCTLNS_XDF_BA_N.M,G19/CCOUT/DTCTLNV_XDF_BA_N.M,G19/TERMS/RIFLPBCIANM48_N.M,G19/TERMS/RIFLPBCIANM60_N.M,G19/TERMS/RIFLPBCIPLM24_N.M,G19/TERMS/RIFSPBCICC_N.M,G19/TERMS/RIFSPBCICCI_N.M,G19/TERMS/H0.RIFLPCFAN_N.M,G19/TERMS/H0.DTCTLVNM_N.M,G19/TERMS/H0.DTCTLVNL_N.M,G19/TERMS/H0.DTCTLVNA_N.M,G19/TERMS/DTCTLVENM_N.M,G19/TERMS/RIELPCFAN_N.M,G19/TERMS/DTCTLVENA_N.M
Time Period,DTCTL_@%A_BA.M,DTCTLR_@%A_BA.M,DTCTLN_@%A_BA.M,DTCTL.M,DTCTLR.M,DTCTLN.M,DTCTL_N.M,DTCNL_N.M,DTCTLHD_N.M,DTCOLHD_N.M,H0.DTCOLHDB_N.M,H0.DTCOLHDS_N.M,DTCNLHD_N.M,DTCTLHF_N.M,DTCOLHF_N.M,DTCNLHF_N.M,DTCOLHC_N.M,DTCOLHG_N.M,DTCOLHE_N.M,DTCTLHN_N.M,DTCOLHN_N.M,DTCNLHN_N.M,DTCTLR_N.M,DTCNLR_N.M,DTCTLRHD_N.M,DTCOLRHD_N.M,H0.DTCOLRHDB_N.M,H0.DTCOLRHDS_N.M,DTCNLRHD_N.M,DTCTLRHF_N.M,DTCOLRHF_N.M,DTCNLRHF_N.M,DTCOLRHC_N.M,DTCTLRHN_N.M,DTCOLRHN_N.M,DTCNLRHN_N.M,DTCTLN_N.M,DTCNLN_N.M,DTCTLNHD_N.M,DTCOLNHD_N.M,H0.DTCOLNHDB_N.M,H0.DTCOLNHDS_N.M,DTCNLNHD_N.M,DTCTLNHF_N.M,DTCOLNHF_N.M,DTCNLNHF_N.M,DTCOLNHC_N.M,DTCOLNHG_N.M,DTCOLNHE_N.M,DTCTLNHN_N.M,DTCOLNHN_N.M,DTCNLNHN_N.M,DTCTLNS_N.M,DTCTLNV_N.M,DTCTL_XDF_BA.M,DTCTLR_XDF_BA.M,DTCTLN_XDF_BA.M,DTCTL_XDF_BA_N.M,DTCNL_XDF_BA_N.M,DTCTLHD_XDF_BA_N.M,DTCOLHD_XDF_BA_N.M,H0.DTCOLHDB_XDF_BA_N.M,H0.DTCOLHDS_XDF_BA_N.M,DTCNLHD_XDF_BA_N.M,DTCTLHF_XDF_BA_N.M,DTCOLHF_XDF_BA_N.M,DTCNLHF_XDF_BA_N.M,DTCOLHC_XDF_BA_N.M,DTCOLHG_XDF_BA_N.M,DTCOLHE_XDF_BA_N.M,DTCTLHN_XDF_BA_N.M,DTCOLHN_XDF_BA_N.M,DTCNLHN_XDF_BA_N.M,DTCTLR_XDF_BA_N.M,DTCNLR_XDF_BA_N.M,DTCTLRHD_XDF_BA_N.M,DTCOLRHD_XDF_BA_N.M,H0.DTCOLRHDB_XDF_BA_N.M,H0.DTCOLRHDS_XDF_BA_N.M,DTCNLRHD_XDF_BA_N.M,DTCTLRHF_XDF_BA_N.M,DTCOLRHF_XDF_BA_N.M,DTCNLRHF_XDF_BA_N.M,DTCOLRHC_XDF_BA_N.M,DTCTLRHN_XDF_BA_N.M,DTCOLRHN_XDF_BA_N.M,DTCNLRHN_XDF_BA_N.M,DTCTLN_XDF_BA_N.M,DTCNLN_XDF_BA_N.M,DTCTLNHD_XDF_BA_N.M,DTCOLNHD_XDF_BA_N.M,H0.DTCOLNHDB_XDF_BA_N.M,H0.DTCOLNHDS_XDF_BA_N.M,DTCNLNHD_XDF_BA_N.M,DTCTLNHF_XDF_BA_N.M,DTCOLNHF_XDF_BA_N.M,DTCNLNHF_XDF_BA_N.M,DTCOLNHC_XDF_BA_N.M,DTCOLNHG_XDF_BA_N.M,DTCOLNHE_XDF_BA_N.M,DTCTLNHN_XDF_BA_N.M,DTCOLNHN_XDF_BA_N.M,DTCNLNHN_XDF_BA_N.M,DTCTLNS_XDF_BA_N.M,DTCTLNV_XDF_BA_N.M,RIFLPBCIANM48_N.M,RIFLPBCIANM60_N.M,RIFLPBCIPLM24_N.M,RIFSPBCICC_N.M,RIFSPBCICCI_N.M,H0.RIFLPCFAN_N.M,H0.DTCTLVNM_N.M,H0.DTCTLVNL_N.M,H0.DTCTLVNA_N.M,DTCTLVENM_N.M,RIELPCFAN_N.M,DTCTLVENA_N.M
1943-01,,,,6577.83,,6577.83,6550,,2554,2554,2118,436,,1076,1076,,20,,,2900,2900,,,,,,,,,,,,,,,,6550,,2554,2554,2118,436,,1076,1076,,20,,,2900,2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-02,-20.94,,-20.94,6463.04,,6463.04,6276,,2444,2444,2020,424,,994,994,,19,,,2819,2819,,,,,,,,,,,,,,,,6276,,2444,2444,2020,424,,994,994,,19,,,2819,2819,,,,-114.79,,-114.79,-274,,-110,-110,-98,-12,,-82,-82,,-1,,,-81,-81,,,,,,,,,,,,,,,,-274,,-110,-110,-98,-12,,-82,-82,,-1,,,-81,-81,,,,,,,,,,,,,,,
1943-03,-42.49,,-42.49,6234.21,,6234.21,6099,,2376,2376,1962,414,,938,938,,19,,,2766,2766,,,,,,,,,,,,,,,,6099,,2376,2376,1962,414,,938,938,,19,,,2766,2766,,,474,-228.83,,-228.83,-177,,-68,-68,-58,-10,,-56,-56,,0,,,-53,-53,,,,,,,,,,,,,,,,-177,,-68,-68,-58,-10,,-56,-56,,0,,,-53,-53,,,,,,,,,,,,,,,
1943-04,-20.88,,-20.88,6125.75,,6125.75,6065,,2324,2324,1914,410,,888,888,,18,,,2835,2835,,,,,,,,,,,,,,,,6065,,2324,2324,1914,410,,888,888,,18,,,2835,2835,,,ND,-108.45,,-108.45,-34,,-52,-52,-48,-4,,-50,-50,,-1,,,69,69,,,,,,,,,,,,,,,,-34,,-52,-52,-48,-4,,-50,-50,,-1,,,69,69,,,,,,,,,,,,,,,
1943-05,-37.12,,-37.12,5936.26,,5936.26,5967,,2278,2278,1880,398,,841,841,,17,,,2831,2831,,,,,,,,,,,,,,,,5967,,2278,2278,1880,398,,841,841,,17,,,2831,2831,,,ND,-189.49,,-189.49,-98,,-46,-46,-34,-12,,-47,-47,,-1,,,-4,-4,,,,,,,,,,,,,,,,-98,,-46,-46,-34,-12,,-47,-47,,-1,,,-4,-4,,,,,,,,,,,,,,,
1943-06,-23.05,,-23.05,5822.23,,5822.23,5893,,2228,2228,1838,390,,821,821,,17,,,2827,2827,,,,,,,,,,,,,,,,5893,,2228,2228,1838,390,,821,821,,17,,,2827,2827,,,384,-114.03,,-114.03,-74,,-50,-50,-42,-8,,-20,-20,,0,,,-4,-4,,,,,,,,,,,,,,,,-74,,-50,-50,-42,-8,,-20,-20,,0,,,-4,-4,,,-30,,,,,,,,,,,,
1943-07,-21.41,,-21.41,5718.37,,5718.37,5681,,2154,2154,1774,380,,793,793,,16,,,2718,2718,,,,,,,,,,,,,,,,5681,,2154,2154,1774,380,,793,793,,16,,,2718,2718,,,ND,-103.86,,-103.86,-212,,-74,-74,-64,-10,,-28,-28,,-1,,,-109,-109,,,,,,,,,,,,,,,,-212,,-74,-74,-64,-10,,-28,-28,,-1,,,-109,-109,,,ND,,,,,,,,,,,,
1943-08,-16.71,,-16.71,5638.75,,5638.75,5561,,2108,2108,1742,366,,773,773,,16,,,2664,2664,,,,,,,,,,,,,,,,5561,,2108,2108,1742,366,,773,773,,16,,,2664,2664,,,ND,-79.62,,-79.62,-120,,-46,-46,-32,-14,,-20,-20,,0,,,-54,-54,,,,,,,,,,,,,,,,-120,,-46,-46,-32,-14,,-20,-20,,0,,,-54,-54,,,ND,,,,,,,,,,,,
1943-09,1.88,,1.88,5647.59,,5647.59,5619,,2123,2123,1763,360,,766,766,,16,,,2714,2714,,,,,,,,,,,,,,,,5619,,2123,2123,1763,360,,766,766,,16,,,2714,2714,,,353,8.83,,8.83,58,,15,15,21,-6,,-7,-7,,0,,,50,50,,,,,,,,,,,,,,,,58,,15,15,21,-6,,-7,-7,,0,,,50,50,,,-10.33,,,,,,,,,,,,
1943-10,0.67,,0.67,5650.74,,5650.74,5707,,2133,2133,1779,354,,753,753,,16,,,2805,2805,,,,,,,,,,,,,,,,5707,,2133,2133,1779,354,,753,753,,16,,,2805,2805,,,ND,3.15,,3.15,88,,10,10,16,-6,,-13,-13,,0,,,91,91,,,,,,,,,,,,,,,,88,,10,10,16,-6,,-13,-13,,0,,,91,91,,,ND,,,,,,,,,,,,
1943-11,-15.69,,-15.69,5576.87,,5576.87,5718,,2113,2113,1771,342,,746,746,,15,,,2844,2844,,,,,,,,,,,,,,,,5718,,2113,2113,1771,342,,746,746,,15,,,2844,2844,,,ND,-73.87,,-73.87,11,,-20,-20,-8,-12,,-7,-7,,-1,,,39,39,,,,,,,,,,,,,,,,11,,-20,-20,-8,-12,,-7,-7,,-1,,,39,39,,,ND,,,,,,,,,,,,
1943-12,-24.6,,-24.6,5462.52,,5462.52,5663,,2044,2044,1704,340,,763,763,,15,,,2841,2841,,,,,,,,,,,,,,,,5663,,2044,2044,1704,340,,763,763,,15,,,2841,2841,,,339,-114.35,,-114.35,-55,,-69,-69,-67,-2,,17,17,,0,,,-3,-3,,,,,,,,,,,,,,,,-55,,-69,-69,-67,-2,,17,17,,0,,,-3,-3,,,-4.67,,,,,,,,,,,,
1944-01,-14.05,,-14.05,5398.57,,5398.57,5377,,1976,1976,1644,332,,738,738,,15,,,2648,2648,,,,,,,,,,,,,,,,5377,,1976,1976,1644,332,,738,738,,15,,,2648,2648,,,ND,-63.95,,-63.95,-286,,-68,-68,-60,-8,,-25,-25,,0,,,-193,-193,,,,,,,,,,,,,,,,-286,,-68,-68,-60,-8,,-25,-25,,0,,,-193,-193,,,ND,,,,,,,,,,,,
1944-02,-9.83,,-9.83,5354.36,,5354.36,5203,,1917,1917,1593,324,,728,728,,14,,,2544,2544,,,,,,,,,,,,,,,,5203,,1917,1917,1593,324,,728,728,,14,,,2544,2544,,,ND,-44.21,,-44.21,-174,,-59,-59,-51,-8,,-10,-10,,-1,,,-104,-104,,,,,,,,,,,,,,,,-174,,-59,-59,-51,-8,,-10,-10,,-1,,,-104,-104,,,ND,,,,,,,,,,,,
1944-03,3.59,,3.59,5370.36,,5370.36,5255,,1921,1921,1603,318,,745,745,,15,,,2574,2574,,,,,,,,,,,,,,,,5255,,1921,1921,1603,318,,745,745,,15,,,2574,2574,,,324,16,,16,52,,4,4,10,-6,,17,17,,1,,,30,30,,,,,,,,,,,,,,,,52,,4,4,10,-6,,17,17,,1,,,30,30,,,-5,,,,,,,,,,,,
1944-04,1.97,,1.97,5379.18,,5379.18,5328,,1947,1947,1629,318,,738,738,,15,,,2628,2628,,,,,,,,,,,,,,,,5328,,1947,1947,1629,318,,738,738,,15,,,2628,2628,,,ND,8.82,,8.82,73,,26,26,26,0,,-7,-7,,0,,,54,54,,,,,,,,,,,,,,,,73,,26,26,26,0,,-7,-7,,0,,,54,54,,,ND,,,,,,,,,,,,
1944-05,11.45,,11.45,5430.5,,5430.5,5462,,1987,1987,1679,308,,743,743,,15,,,2717,2717,,,,,,,,,,,,,,,,5462,,1987,1987,1679,308,,743,743,,15,,,2717,2717,,,ND,51.32,,51.32,134,,40,40,50,-10,,5,5,,0,,,89,89,,,,,,,,,,,,,,,,134,,40,40,50,-10,,5,5,,0,,,89,89,,,ND,,,,,,,,,,,,
1944-06,8.24,,8.24,5467.79,,5467.79,5530,,2054,2054,1752,302,,756,756,,15,,,2705,2705,,,,,,,,,,,,,,,,5530,,2054,2054,1752,302,,756,756,,15,,,2705,2705,,,352,37.29,,37.29,68,,67,67,73,-6,,13,13,,0,,,-12,-12,,,,,,,,,,,,,,,,68,,67,67,73,-6,,13,13,,0,,,-12,-12,,,9.33,,,,,,,,,,,,
